,cooler_condition,valve_condition,pump_leakage,accumulator_pressure
PS1_mean,0.18928071080657077,0.00016358533349972043,0.05837955845483933,0.07577132211491437
PS1_std,0.5041764654383566,0.00025072088138982653,0.05520047694729383,0.04724322166966363
PS1_mean_first_half,0.1498526480113361,0.001581271174721176,0.04967459633605282,0.0874188219225771
PS1_mean_second_half,0.20562600223204316,0.00010310495090950218,0.0602580067565567,0.06607869358892042
PS2_mean,0.21738413618152605,0.0020387749128380067,0.06399922949770864,0.07142269951143931
PS2_std,0.27096215033025944,0.0029540864120468097,0.06551228823828001,0.0682221375362273
PS2_mean_first_half,0.18539595796633632,0.01281802948397161,0.05868606870299733,0.07918545091822504
PS2_mean_second_half,0.22545339999353958,0.00010316822396231426,0.06384969228377263,0.06392117465774806
PS3_mean,0.6080777126572151,0.0004948912204011128,0.08682085794201684,0.034279426756577865
PS3_std,0.2967802098873024,0.0028656432776821214,0.012141986298464613,0.048979146784447286
PS3_mean_first_half,0.6093259922729842,0.0018907308346647225,0.08654272875097409,0.03922480986950179
PS3_mean_second_half,0.5963897264165741,0.00019913986180391185,0.08541629141716886,0.030984913122429826
PS4_mean,0.9697185615327538,0.00081129121422679,0.0003085151182546235,0.0012269750033237527
PS4_std,0.025764713564930018,0.004558857930266393,0.0020529219717764094,0.03449215037326632
PS4_mean_first_half,0.9677774348314495,0.0007703179932987326,0.0003326595144841075,0.0012670737133067891
PS4_mean_second_half,0.970469748415363,0.000852625300642278,0.0002856655617006964,0.0011887874024193285
PS5_mean,0.9932764159708699,0.00016178523722040042,0.00015396019494482227,0.0010392506555391436
PS5_std,0.2860137761018547,7.639651929154738e-05,0.004878759691866945,0.057544397148153646
PS5_mean_first_half,0.9933110213586055,0.00016178721938705907,0.0001457585530367158,0.0010411784283479834
PS5_mean_second_half,0.993222075607841,0.00016183037147167784,0.00016320364093947088,0.0010377481589932379
PS6_mean,0.9935531472217778,0.00016652805102111468,0.0001500074122060973,0.0010591718007539363
PS6_std,0.6308486851511725,0.0007101067823812088,0.0014636337744668541,0.03250664953797626
PS6_mean_first_half,0.9935945517249211,0.00016769148379496725,0.00014338879228801085,0.0010610114807406965
PS6_mean_second_half,0.9934910980269999,0.00016542969407395177,0.00015766388162918431,0.0010576874765603611
EPS1_mean,0.18988939190300672,0.00015241356316570318,0.15263569900457327,0.06041884369221855
EPS1_std,0.47601620312407966,0.00026805511933775323,0.05871646824117062,0.04910825731536789
EPS1_mean_first_half,0.34800454990833224,0.0011972224668265604,0.14341522265658455,0.04816508986672783
EPS1_mean_second_half,0.13313479214140528,8.445758252631703e-05,0.14053790242210343,0.06140663583841302
FS1_mean,0.384463216629627,0.00017797174918494487,0.11459224817299415,0.05250885161899974
FS1_std,0.29528813004994614,0.0029873180534409805,0.0052362594895996395,0.055944884615387505
FS1_mean_first_half,0.369980014707217,0.0013268235498387442,0.11750527752890869,0.05845820220355042
FS1_mean_second_half,0.3819463671148293,0.00010270445043262625,0.1100500421609541,0.04809298284179291
FS2_mean,0.9796402457152701,8.259074350254177e-05,0.0004543724416474312,0.0028037064983046827
FS2_std,0.7891866738584612,0.00021941846146915096,0.004145915066969968,0.05858563938902965
FS2_mean_first_half,0.9799644714922632,8.173174173550968e-05,0.00043924149751553793,0.0027152689676966024
FS2_mean_second_half,0.9792682328434006,8.349784874233702e-05,0.0004729576418205531,0.002892871803508067
TS1_mean,0.9906829062763789,0.00011087915328688981,0.00020525095182326856,0.000824114810831079
TS1_std,0.7985935537736865,0.0030076707746115,0.013315413841642535,0.0030155274511011573
TS1_mean_first_half,0.9905144725597003,0.00010819744328015341,0.00022078525091802064,0.000846176679821761
TS1_mean_second_half,0.9908414279815799,0.00011359624712404615,0.00019082077987536735,0.0008026072982329718
TS2_mean,0.9921635565920784,0.00011808546323023018,0.00025515447035528,0.000693065846563859
TS2_std,0.7877774407240121,0.0013031672501287704,0.001942624376981809,0.006080913087552767
TS2_mean_first_half,0.9919640671746371,0.00011892924357692104,0.00021126797715716227,0.000717083435603373
TS2_mean_second_half,0.992192645509318,0.00011741261775076033,0.00031549266104250265,0.0006801550448276944
TS3_mean,0.9892935914293832,0.00011233520973799703,0.0002214060811503958,0.0009052622774977774
TS3_std,0.08298850128812094,0.003405271361429353,0.04330156262453836,0.013303035613217131
TS3_mean_first_half,0.9894269693863321,0.00011256479794324654,0.00020945999943768048,0.000891670710063787
